county,state,population_2010
Hood River County,Oregon,22346
Jackson County,Oregon,203206
Jefferson County,Oregon,21720
Josephine County,Oregon,82713
Klamath County,Oregon,66380
Lake County,Oregon,7895
Lane County,Oregon,351715
Lincoln County,Oregon,46034
Linn County,Oregon,116672
Malheur County,Oregon,31313
Marion County,Oregon,315335
Morrow County,Oregon,11173
Multnomah County,Oregon,735334
Polk County,Oregon,75403
Sherman County,Oregon,1765
Tillamook County,Oregon,25250
Umatilla County,Oregon,75889
Union County,Oregon,25748
Wallowa County,Oregon,7008
Wasco County,Oregon,25213
Washington County,Oregon,529710
Wheeler County,Oregon,1441
Yamhill County,Oregon,99193
Adams County,Pennsylvania,101407
Allegheny County,Pennsylvania,1223348
Armstrong County,Pennsylvania,68941
Beaver County,Pennsylvania,170539
Bedford County,Pennsylvania,49762
Berks County,Pennsylvania,411442
Blair County,Pennsylvania,127089
Bradford County,Pennsylvania,62622
Bucks County,Pennsylvania,625249
Butler County,Pennsylvania,183862
Cambria County,Pennsylvania,143679
Cameron County,Pennsylvania,5085
Carbon County,Pennsylvania,65249
Centre County,Pennsylvania,153990
Chester County,Pennsylvania,498886
Clarion County,Pennsylvania,39988
Clearfield County,Pennsylvania,81642
Clinton County,Pennsylvania,39238
Columbia County,Pennsylvania,67295
Crawford County,Pennsylvania,88765
Cumberland County,Pennsylvania,235406
Dauphin County,Pennsylvania,268100
Delaware County,Pennsylvania,558979
Elk County,Pennsylvania,31946
Erie County,Pennsylvania,280566
Fayette County,Pennsylvania,136606
Forest County,Pennsylvania,7716
Franklin County,Pennsylvania,149618
Fulton County,Pennsylvania,14845
Greene County,Pennsylvania,38686
Huntingdon County,Pennsylvania,45913
Indiana County,Pennsylvania,88880
Jefferson County,Pennsylvania,45200
Juniata County,Pennsylvania,24636
Lackawanna County,Pennsylvania,214437
Lancaster County,Pennsylvania,519445
Lawrence County,Pennsylvania,91108
Lebanon County,Pennsylvania,133568
Lehigh County,Pennsylvania,349497
Luzerne County,Pennsylvania,320918
Lycoming County,Pennsylvania,116111
McKean County,Pennsylvania,43450
Mercer County,Pennsylvania,116638
Mifflin County,Pennsylvania,46682
Monroe County,Pennsylvania,169842
Montgomery County,Pennsylvania,799874
Montour County,Pennsylvania,18267
Northampton County,Pennsylvania,297735
Northumberland County,Pennsylvania,94528
Perry County,Pennsylvania,45969
Philadelphia County,Pennsylvania,1526006
Pike County,Pennsylvania,57369
Potter County,Pennsylvania,17457
Schuylkill County,Pennsylvania,148289
Snyder County,Pennsylvania,39702
Somerset County,Pennsylvania,77742
Sullivan County,Pennsylvania,6428
Susquehanna County,Pennsylvania,43356
Tioga County,Pennsylvania,41981
Union County,Pennsylvania,44947
Venango County,Pennsylvania,54984
Warren County,Pennsylvania,41815
Washington County,Pennsylvania,207820
Wayne County,Pennsylvania,52822
Westmoreland County,Pennsylvania,365169
Wyoming County,Pennsylvania,28276
York County,Pennsylvania,434972
Bristol County,Rhode Island,49875
Kent County,Rhode Island,166158
Newport County,Rhode Island,82888
Providence County,Rhode Island,626667
Washington County,Rhode Island,126979
Abbeville County,South Carolina,25417
Aiken County,South Carolina,160099
Allendale County,South Carolina,10419
Anderson County,South Carolina,187126
Bamberg County,South Carolina,15987
Barnwell County,South Carolina,22621
Beaufort County,South Carolina,162233
Berkeley County,South Carolina,177843
Calhoun County,South Carolina,15175
Charleston County,South Carolina,350209
Cherokee County,South Carolina,55342
Chester County,South Carolina,33140
Chesterfield County,South Carolina,46734
Clarendon County,South Carolina,34971
Colleton County,South Carolina,38892
Darlington County,South Carolina,68681
Dillon County,South Carolina,32062
Dorchester County,South Carolina,136555
Edgefield County,South Carolina,26985
Fairfield County,South Carolina,23956
Florence County,South Carolina,136885
Georgetown County,South Carolina,60158
Greenville County,South Carolina,451225
Greenwood County,South Carolina,69661
Hampton County,South Carolina,21090
Horry County,South Carolina,269291
Jasper County,South Carolina,24777
Kershaw County,South Carolina,61697
Lancaster County,South Carolina,76652
Laurens County,South Carolina,66537
Lee County,South Carolina,19220
Lexington County,South Carolina,262391
McCormick County,South Carolina,10233
Marion County,South Carolina,33062
Marlboro County,South Carolina,28933
Newberry County,South Carolina,37508
Oconee County,South Carolina,74273
Orangeburg County,South Carolina,92501
Pickens County,South Carolina,119224
Richland County,South Carolina,384504
Saluda County,South Carolina,19875
Spartanburg County,South Carolina,284307
Sumter County,South Carolina,107456
Union County,South Carolina,28961
Williamsburg County,South Carolina,34423
York County,South Carolina,226073
Aurora County,South Dakota,2710
Beadle County,South Dakota,17398
Bennett County,South Dakota,3431
Bon Homme County,South Dakota,7070
Brookings County,South Dakota,31965
Brown County,South Dakota,36531
Brule County,South Dakota,5255
Buffalo County,South Dakota,1912
Butte County,South Dakota,10110
Campbell County,South Dakota,1466
Charles Mix County,South Dakota,9129
Clark County,South Dakota,3691
Clay County,South Dakota,13864
Codington County,South Dakota,27227
Corson County,South Dakota,4050
Custer County,South Dakota,8216
Davison County,South Dakota,19504
Day County,South Dakota,5710
Deuel County,South Dakota,4364
Dewey County,South Dakota,5301
Douglas County,South Dakota,3002
Edmunds County,South Dakota,4071
Fall River County,South Dakota,7094
Faulk County,South Dakota,2364
Grant County,South Dakota,7356
Gregory County,South Dakota,4271
Haakon County,South Dakota,1937
Hamlin County,South Dakota,5903
Hand County,South Dakota,3431
Hanson County,South Dakota,3331
Harding County,South Dakota,1255
Hughes County,South Dakota,17022
Hutchinson County,South Dakota,7343
Hyde County,South Dakota,1420
Jackson County,South Dakota,3031
Jerauld County,South Dakota,2071
Jones County,South Dakota,1006
Kingsbury County,South Dakota,5148
Lake County,South Dakota,11200
Lawrence County,South Dakota,24097
Lincoln County,South Dakota,44828
Lyman County,South Dakota,3755
McCook County,South Dakota,5618
McPherson County,South Dakota,2459
Marshall County,South Dakota,4656
Meade County,South Dakota,25434
Mellette County,South Dakota,2048
Miner County,South Dakota,2389
Minnehaha County,South Dakota,169468
Moody County,South Dakota,6486
Pennington County,South Dakota,100948
Perkins County,South Dakota,2982
Potter County,South Dakota,2329
Roberts County,South Dakota,10149
Sanborn County,South Dakota,2355
Shannon County,South Dakota,13586
Spink County,South Dakota,6415
Stanley County,South Dakota,2966
Sully County,South Dakota,1373
Todd County,South Dakota,9612
Tripp County,South Dakota,5644
Turner County,South Dakota,8347
Union County,South Dakota,14399
Walworth County,South Dakota,5438
Yankton County,South Dakota,22438
Ziebach County,South Dakota,2801
Anderson County,Tennessee,75129
Bedford County,Tennessee,45058
Benton County,Tennessee,16489
Bledsoe County,Tennessee,12876
Blount County,Tennessee,123010
Bradley County,Tennessee,98963
Campbell County,Tennessee,40716
Cannon County,Tennessee,13801
Carroll County,Tennessee,28522
Carter County,Tennessee,57424
Cheatham County,Tennessee,39105
Chester County,Tennessee,17131
Claiborne County,Tennessee,32213
Clay County,Tennessee,7861
Cocke County,Tennessee,35662
Coffee County,Tennessee,52796
Crockett County,Tennessee,14586
Cumberland County,Tennessee,56053
Davidson County,Tennessee,626681
Decatur County,Tennessee,11757
DeKalb County,Tennessee,18723
Dickson County,Tennessee,49666
Dyer County,Tennessee,38335
Fayette County,Tennessee,38413
Fentress County,Tennessee,17959
Franklin County,Tennessee,41052
Gibson County,Tennessee,49683
Giles County,Tennessee,29485
Grainger County,Tennessee,22657
Greene County,Tennessee,68831
Grundy County,Tennessee,13703
Hamblen County,Tennessee,62544
Hamilton County,Tennessee,336463
Hancock County,Tennessee,6819
Hardeman County,Tennessee,27253
Hardin County,Tennessee,26026
Hawkins County,Tennessee,56833
Haywood County,Tennessee,18787
Henderson County,Tennessee,27769
Henry County,Tennessee,32330
Hickman County,Tennessee,24690
Houston County,Tennessee,8426
Humphreys County,Tennessee,18538
Jackson County,Tennessee,11638
Jefferson County,Tennessee,51407
Johnson County,Tennessee,18244
Knox County,Tennessee,432226
Lake County,Tennessee,7832
Lauderdale County,Tennessee,27815
Lawrence County,Tennessee,41869
Lewis County,Tennessee,12161
Lincoln County,Tennessee,33361
Loudon County,Tennessee,48556
McMinn County,Tennessee,52266
McNairy County,Tennessee,26075
Macon County,Tennessee,22248
Madison County,Tennessee,98294
Marion County,Tennessee,28237
Marshall County,Tennessee,30617
Maury County,Tennessee,80956
Meigs County,Tennessee,11753
Monroe County,Tennessee,44519
Montgomery County,Tennessee,172331
Moore County,Tennessee,6362
Morgan County,Tennessee,21987
Obion County,Tennessee,31807
Overton County,Tennessee,22083
Perry County,Tennessee,7915
Pickett County,Tennessee,5077
Polk County,Tennessee,16825
Putnam County,Tennessee,72321
Rhea County,Tennessee,31809
Roane County,Tennessee,54181
Robertson County,Tennessee,66283
Rutherford County,Tennessee,262604
Scott County,Tennessee,22228
Sequatchie County,Tennessee,14112
Sevier County,Tennessee,89889
Shelby County,Tennessee,927644
Smith County,Tennessee,19166
Stewart County,Tennessee,13324
Sullivan County,Tennessee,156823
Sumner County,Tennessee,160645
Tipton County,Tennessee,61081
Trousdale County,Tennessee,7870
Unicoi County,Tennessee,18313
Union County,Tennessee,19109
Van Buren County,Tennessee,5548
Warren County,Tennessee,39839
Washington County,Tennessee,122979
Wayne County,Tennessee,17021
Weakley County,Tennessee,35021
White County,Tennessee,25841
Williamson County,Tennessee,183182
Wilson County,Tennessee,113993
Anderson County,Texas,58458
Andrews County,Texas,14786
Angelina County,Texas,86771
Aransas County,Texas,23158
Archer County,Texas,9054
Armstrong County,Texas,1901
Atascosa County,Texas,44911
Austin County,Texas,28417
Bailey County,Texas,7165
Bandera County,Texas,20485
Bastrop County,Texas,74171
Baylor County,Texas,3726
Bee County,Texas,31861
Bell County,Texas,310235
Bexar County,Texas,1714773
Blanco County,Texas,10497
Borden County,Texas,641
Bosque County,Texas,18212
Bowie County,Texas,92565
Brazoria County,Texas,313166
Brazos County,Texas,194851
Brewster County,Texas,9232
Briscoe County,Texas,1637
Brooks County,Texas,7223
Brown County,Texas,38106
Burleson County,Texas,17187
Burnet County,Texas,42750
Caldwell County,Texas,38066
Calhoun County,Texas,21381
Callahan County,Texas,13544
Cameron County,Texas,406220
Camp County,Texas,12401
Carson County,Texas,6182
Cass County,Texas,30464
Castro County,Texas,8062
Chambers County,Texas,35096
Cherokee County,Texas,50845
Childress County,Texas,7041
Clay County,Texas,10752
Cochran County,Texas,3127
Coke County,Texas,3320
Coleman County,Texas,8895
Collin County,Texas,782341
Collingsworth County,Texas,3057
Colorado County,Texas,20874
Comal County,Texas,108472
Comanche County,Texas,13974
Concho County,Texas,4087
Cooke County,Texas,38437
Coryell County,Texas,75388
Cottle County,Texas,1505
Crane County,Texas,4375
Crockett County,Texas,3719
Crosby County,Texas,6059
Culberson County,Texas,2398
Dallam County,Texas,6703
Dallas County,Texas,2368139
Dawson County,Texas,13833
Deaf Smith County,Texas,19372
Delta County,Texas,5231
Denton County,Texas,662614
DeWitt County,Texas,20097
Dickens County,Texas,2444
Dimmit County,Texas,9996
Donley County,Texas,3677
Duval County,Texas,11782
Eastland County,Texas,18583
Ector County,Texas,137130
Edwards County,Texas,2002
Ellis County,Texas,149610
El Paso County,Texas,800647
Erath County,Texas,37890
Falls County,Texas,17866
Fannin County,Texas,33915
Fayette County,Texas,24554
Fisher County,Texas,3974
Floyd County,Texas,6446
Foard County,Texas,1336
Fort Bend County,Texas,585375
Franklin County,Texas,10605
Freestone County,Texas,19816
Frio County,Texas,17217
Gaines County,Texas,17526
Galveston County,Texas,291309
Garza County,Texas,6461
Gillespie County,Texas,24837
Glasscock County,Texas,1226
Goliad County,Texas,7210
Gonzales County,Texas,19807
Gray County,Texas,22535
Grayson County,Texas,120877
Gregg County,Texas,121730
Grimes County,Texas,26604
Guadalupe County,Texas,131533
Hale County,Texas,36273
Hall County,Texas,3353
Hamilton County,Texas,8517
Hansford County,Texas,5613
Hardeman County,Texas,4139
Hardin County,Texas,54635
Harris County,Texas,4092459
Harrison County,Texas,65631
Hartley County,Texas,6062
Haskell County,Texas,5899
Hays County,Texas,157107
Hemphill County,Texas,3807
Henderson County,Texas,78532
Hidalgo County,Texas,774769
Hill County,Texas,35089
Hockley County,Texas,22935
Hood County,Texas,51182
Hopkins County,Texas,35161
Houston County,Texas,23732
Howard County,Texas,35012
Hudspeth County,Texas,3476
Hunt County,Texas,86129
Hutchinson County,Texas,22150
Irion County,Texas,1599
Jack County,Texas,9044
Jackson County,Texas,14075
Jasper County,Texas,35710
Jeff Davis County,Texas,2342
Jefferson County,Texas,252273
Jim Hogg County,Texas,5300
Jim Wells County,Texas,40838
Johnson County,Texas,150934
Jones County,Texas,20202
Karnes County,Texas,14824
Kaufman County,Texas,103350
Kendall County,Texas,33410
Kenedy County,Texas,416
Kent County,Texas,808
Kerr County,Texas,49625
Kimble County,Texas,4607
King County,Texas,286
Kinney County,Texas,3598
Kleberg County,Texas,32061
Knox County,Texas,3719
Lamar County,Texas,49793
Lamb County,Texas,13977
Lampasas County,Texas,19677
La Salle County,Texas,6886
Lavaca County,Texas,19263
Lee County,Texas,16612
Leon County,Texas,16801
Liberty County,Texas,75643
Limestone County,Texas,23384
Lipscomb County,Texas,3302
Live Oak County,Texas,11531
Llano County,Texas,19301
Loving County,Texas,82
Lubbock County,Texas,278831
Lynn County,Texas,5915
McCulloch County,Texas,8283
McLennan County,Texas,234906
McMullen County,Texas,707
Madison County,Texas,13664
Marion County,Texas,10546
Martin County,Texas,4799
Mason County,Texas,4012
Matagorda County,Texas,36702
Maverick County,Texas,54258
Medina County,Texas,46006
Menard County,Texas,2242
Midland County,Texas,136872
Milam County,Texas,24757
Mills County,Texas,4936
Mitchell County,Texas,9403
Montague County,Texas,19719
Montgomery County,Texas,455746
Moore County,Texas,21904
Morris County,Texas,12934
Motley County,Texas,1210
Nacogdoches County,Texas,64524
Navarro County,Texas,47735
Newton County,Texas,14445
Nolan County,Texas,15216
Nueces County,Texas,340223
Ochiltree County,Texas,10223
Oldham County,Texas,2052
Orange County,Texas,81837
Palo Pinto County,Texas,28111
Panola County,Texas,23796
Parker County,Texas,116927
Parmer County,Texas,10269
Pecos County,Texas,15507
Polk County,Texas,45413
Potter County,Texas,121073
Presidio County,Texas,7818
Rains County,Texas,10914
Randall County,Texas,120725
Reagan County,Texas,3367
Real County,Texas,3309
Red River County,Texas,12860
Reeves County,Texas,13783
Refugio County,Texas,7383
Roberts County,Texas,929
Robertson County,Texas,16622
Rockwall County,Texas,78337
Runnels County,Texas,10501
Rusk County,Texas,53330
Sabine County,Texas,10834
San Augustine County,Texas,8865
San Jacinto County,Texas,26384
San Patricio County,Texas,64804
San Saba County,Texas,6131
Schleicher County,Texas,3461
Scurry County,Texas,16921
Shackelford County,Texas,3378
Shelby County,Texas,25448
Sherman County,Texas,3034
Smith County,Texas,209714
Somervell County,Texas,8490
Starr County,Texas,60968
Stephens County,Texas,9630
Sterling County,Texas,1143
Stonewall County,Texas,1490
Sutton County,Texas,4128
Swisher County,Texas,7854
Tarrant County,Texas,1809034
Taylor County,Texas,131506
Terrell County,Texas,984
Terry County,Texas,12651
Throckmorton County,Texas,1641
Titus County,Texas,32334
Tom Green County,Texas,110224
Travis County,Texas,1024266
Trinity County,Texas,14585
Tyler County,Texas,21766
Upshur County,Texas,39309
Upton County,Texas,3355
Uvalde County,Texas,26405
Val Verde County,Texas,48879
Van Zandt County,Texas,52579
Victoria County,Texas,86793
Walker County,Texas,67861
Waller County,Texas,43205
Ward County,Texas,10658
Washington County,Texas,33718
Webb County,Texas,250304
Wharton County,Texas,41280
Wheeler County,Texas,5410
Wichita County,Texas,131500
Wilbarger County,Texas,13535
Willacy County,Texas,22134
Williamson County,Texas,422679
Wilson County,Texas,42918
Winkler County,Texas,7110
Wise County,Texas,59127
Wood County,Texas,41964
Yoakum County,Texas,7879
Young County,Texas,18550
Zapata County,Texas,14018
Zavala County,Texas,11677
Beaver County,Utah,6629
Box Elder County,Utah,49975
Cache County,Utah,112656
Carbon County,Utah,21403
Daggett County,Utah,1059
Davis County,Utah,306479
Duchesne County,Utah,18607
Emery County,Utah,10976
Garfield County,Utah,5172
Grand County,Utah,9225
Iron County,Utah,46163
Juab County,Utah,10246
Kane County,Utah,7125
Millard County,Utah,12503
Morgan County,Utah,9469
Piute County,Utah,1556
Rich County,Utah,2264
Salt Lake County,Utah,1029655
San Juan County,Utah,14746
Sanpete County,Utah,27822
Sevier County,Utah,20802
Summit County,Utah,36324
Tooele County,Utah,58218
Uintah County,Utah,32588
Utah County,Utah,516564
Wasatch County,Utah,23530
Washington County,Utah,138115
Wayne County,Utah,2778
Weber County,Utah,231236
Addison County,Vermont,36821
Bennington County,Vermont,37125
Caledonia County,Vermont,31227
Chittenden County,Vermont,156545
Essex County,Vermont,6306
Franklin County,Vermont,47746
Grand Isle County,Vermont,6970
Lamoille County,Vermont,24475
Orange County,Vermont,28936
Orleans County,Vermont,27231
Rutland County,Vermont,61642
Washington County,Vermont,59534
Windham County,Vermont,44513
Windsor County,Vermont,56670
Accomack County,Virginia,33164
Albemarle County,Virginia,98970
Alleghany County,Virginia,16250
Amelia County,Virginia,12690
Amherst County,Virginia,32353
Appomattox County,Virginia,14973
Arlington County,Virginia,207627
Augusta County,Virginia,73750
Bath County,Virginia,4731
Bedford County,Virginia,68676
Bland County,Virginia,6824
Botetourt County,Virginia,33148
Brunswick County,Virginia,17434
Buchanan County,Virginia,24098
Buckingham County,Virginia,17146
Campbell County,Virginia,54842
Caroline County,Virginia,28545
Carroll County,Virginia,30042
Charles City County,Virginia,7256
Charlotte County,Virginia,12586
Chesterfield County,Virginia,316236
Clarke County,Virginia,14034
Craig County,Virginia,5190
Culpeper County,Virginia,46689
Cumberland County,Virginia,10052
Dickenson County,Virginia,15903
Dinwiddie County,Virginia,28001
Essex County,Virginia,11151
Fairfax County,Virginia,1081726
Fauquier County,Virginia,65203
Floyd County,Virginia,15279
Fluvanna County,Virginia,25691
Franklin County,Virginia,56159
Frederick County,Virginia,78305
Giles County,Virginia,17286
Gloucester County,Virginia,36858
Goochland County,Virginia,21717
Grayson County,Virginia,15533
Greene County,Virginia,18403
Greensville County,Virginia,12243
Halifax County,Virginia,36241
Hanover County,Virginia,99863
Henrico County,Virginia,306935
Henry County,Virginia,54151
Highland County,Virginia,2321
Isle of Wight County,Virginia,35270
James City County,Virginia,67009
King and Queen County,Virginia,6945
King George County,Virginia,23584
King William County,Virginia,15935
Lancaster County,Virginia,11391
Lee County,Virginia,25587
Loudoun County,Virginia,312311
Louisa County,Virginia,33153
Lunenburg County,Virginia,12914
Madison County,Virginia,13308
Mathews County,Virginia,8978
Mecklenburg County,Virginia,32727
Middlesex County,Virginia,10959
Montgomery County,Virginia,94392
Nelson County,Virginia,15020
New Kent County,Virginia,18429
Northampton County,Virginia,12389
Northumberland County,Virginia,12330
Nottoway County,Virginia,15853
Orange County,Virginia,33481
Page County,Virginia,24042
Patrick County,Virginia,18490
Pittsylvania County,Virginia,63506
Powhatan County,Virginia,28046
Prince Edward County,Virginia,23368
Prince George County,Virginia,35725
Prince William County,Virginia,402002
Pulaski County,Virginia,34872
Rappahannock County,Virginia,7373
Richmond County,Virginia,9254
Roanoke County,Virginia,92376
Rockbridge County,Virginia,22307
Rockingham County,Virginia,76314
Russell County,Virginia,28897
Scott County,Virginia,23177
Shenandoah County,Virginia,41993
Smyth County,Virginia,32208
Southampton County,Virginia,18570
Spotsylvania County,Virginia,122397
Stafford County,Virginia,128961
Surry County,Virginia,7058
Sussex County,Virginia,12087
Tazewell County,Virginia,45078
Warren County,Virginia,37575
Washington County,Virginia,54876
Westmoreland County,Virginia,17454
Wise County,Virginia,41452
Wythe County,Virginia,29235
York County,Virginia,65464
Alexandria city,Virginia,139966
Bristol city,Virginia,17835
Buena Vista city,Virginia,6650
Charlottesville city,Virginia,43475
Chesapeake city,Virginia,222209
Colonial Heights city,Virginia,17411
Covington city,Virginia,5961
Danville city,Virginia,43055
Emporia city,Virginia,5927
Fairfax city,Virginia,22565
Falls Church city,Virginia,12332
Franklin city,Virginia,8582
Fredericksburg city,Virginia,24286
Galax city,Virginia,7042
Hampton city,Virginia,137436
Harrisonburg city,Virginia,48914
Hopewell city,Virginia,22591
Lexington city,Virginia,7042
Lynchburg city,Virginia,75568
Manassas city,Virginia,37821
Manassas Park city,Virginia,14273
Martinsville city,Virginia,13821
Newport News city,Virginia,180719
Norfolk city,Virginia,242803
Norton city,Virginia,3958
Petersburg city,Virginia,32420
Poquoson city,Virginia,12150
Portsmouth city,Virginia,95535
Radford city,Virginia,16408
Richmond city,Virginia,204214
Roanoke city,Virginia,97032
Salem city,Virginia,24802
Staunton city,Virginia,23746
Suffolk city,Virginia,84585
Virginia Beach city,Virginia,437994
Waynesboro city,Virginia,21006
Williamsburg city,Virginia,14068
Winchester city,Virginia,26203
Adams County,Washington,18728
Asotin County,Washington,21623
Benton County,Washington,175177
Chelan County,Washington,72453
Clallam County,Washington,71404
Clark County,Washington,425363
Columbia County,Washington,4078
Cowlitz County,Washington,102410
Douglas County,Washington,38431
Ferry County,Washington,7551
Franklin County,Washington,78163
Garfield County,Washington,2266
Grant County,Washington,89120
Grays Harbor County,Washington,72797
Island County,Washington,78506
Jefferson County,Washington,29872
King County,Washington,1931249
Kitsap County,Washington,251133
Kittitas County,Washington,40915
Klickitat County,Washington,20318
Lewis County,Washington,75455
Lincoln County,Washington,10570
Mason County,Washington,60699
Okanogan County,Washington,41120
Pacific County,Washington,20920
Pend Oreille County,Washington,13001
Pierce County,Washington,795225
San Juan County,Washington,15769
Skagit County,Washington,116901
Skamania County,Washington,11066
Snohomish County,Washington,713335
Spokane County,Washington,471221
Stevens County,Washington,43531
Thurston County,Washington,252264
Wahkiakum County,Washington,3978
Walla Walla County,Washington,58781
Whatcom County,Washington,201140
Whitman County,Washington,44776
Yakima County,Washington,243231
Barbour County,West Virginia,16589
Berkeley County,West Virginia,104169
Boone County,West Virginia,24629
Braxton County,West Virginia,14523
Brooke County,West Virginia,24069
Cabell County,West Virginia,96319
Calhoun County,West Virginia,7627
Clay County,West Virginia,9386
Doddridge County,West Virginia,8202
Fayette County,West Virginia,46039
Gilmer County,West Virginia,8693
Grant County,West Virginia,11937
Greenbrier County,West Virginia,35480
Hampshire County,West Virginia,23964
Hancock County,West Virginia,30676
Hardy County,West Virginia,14025
Harrison County,West Virginia,69099
Jackson County,West Virginia,29211
Jefferson County,West Virginia,53498
Kanawha County,West Virginia,193063
Lewis County,West Virginia,16372
Lincoln County,West Virginia,21720
Logan County,West Virginia,36743
McDowell County,West Virginia,22113
Marion County,West Virginia,56418
Marshall County,West Virginia,33107
Mason County,West Virginia,27324
Mercer County,West Virginia,62264
Mineral County,West Virginia,28212
Mingo County,West Virginia,26839
Monongalia County,West Virginia,96189
Monroe County,West Virginia,13502
Morgan County,West Virginia,17541
Nicholas County,West Virginia,26233
Ohio County,West Virginia,44443
Pendleton County,West Virginia,7695
Pleasants County,West Virginia,7605
Pocahontas County,West Virginia,8719
Preston County,West Virginia,33520
Putnam County,West Virginia,55486
Raleigh County,West Virginia,78859
Randolph County,West Virginia,29405
Ritchie County,West Virginia,10449
Roane County,West Virginia,14926
Summers County,West Virginia,13927
Taylor County,West Virginia,16895
Tucker County,West Virginia,7141
Tyler County,West Virginia,9208
Upshur County,West Virginia,24254
Wayne County,West Virginia,42481
Webster County,West Virginia,9154
Wetzel County,West Virginia,16583
Wirt County,West Virginia,5717
Wood County,West Virginia,86956
Wyoming County,West Virginia,23796
Adams County,Wisconsin,20875
Ashland County,Wisconsin,16157
Barron County,Wisconsin,45870
Bayfield County,Wisconsin,15014
Brown County,Wisconsin,248007
Buffalo County,Wisconsin,13587
Burnett County,Wisconsin,15457
Calumet County,Wisconsin,48971
Chippewa County,Wisconsin,62415
Clark County,Wisconsin,34690
Columbia County,Wisconsin,56833
Crawford County,Wisconsin,16644
Dane County,Wisconsin,488073
Dodge County,Wisconsin,88759
Door County,Wisconsin,27785
Douglas County,Wisconsin,44159
Dunn County,Wisconsin,43857
Eau Claire County,Wisconsin,98736
Florence County,Wisconsin,4423
Fond du Lac County,Wisconsin,101633
Forest County,Wisconsin,9304
Grant County,Wisconsin,51208
Green County,Wisconsin,36842
Green Lake County,Wisconsin,19051
Iowa County,Wisconsin,23687
Iron County,Wisconsin,5916
Jackson County,Wisconsin,20449
Jefferson County,Wisconsin,83686
Juneau County,Wisconsin,26664
Kenosha County,Wisconsin,166426
Kewaunee County,Wisconsin,20574
La Crosse County,Wisconsin,114638
Lafayette County,Wisconsin,16836
Langlade County,Wisconsin,19977
Lincoln County,Wisconsin,28743
Manitowoc County,Wisconsin,81442
Marathon County,Wisconsin,134063
Marinette County,Wisconsin,41749
Marquette County,Wisconsin,15404
Menominee County,Wisconsin,4232
Milwaukee County,Wisconsin,947735
Monroe County,Wisconsin,44673
Oconto County,Wisconsin,37660
Oneida County,Wisconsin,35998
Outagamie County,Wisconsin,176695
Ozaukee County,Wisconsin,86395
Pepin County,Wisconsin,7469
Pierce County,Wisconsin,41019
Polk County,Wisconsin,44205
Portage County,Wisconsin,70019
Price County,Wisconsin,14159
Racine County,Wisconsin,195408
Richland County,Wisconsin,18021
Rock County,Wisconsin,160331
Rusk County,Wisconsin,14755
St. Croix County,Wisconsin,84345
Sauk County,Wisconsin,61976
Sawyer County,Wisconsin,16557
Shawano County,Wisconsin,41949
Sheboygan County,Wisconsin,115507
Taylor County,Wisconsin,20689
Trempealeau County,Wisconsin,28816
Vernon County,Wisconsin,29773
Vilas County,Wisconsin,21430
Walworth County,Wisconsin,102228
Washburn County,Wisconsin,15911
Washington County,Wisconsin,131887
Waukesha County,Wisconsin,389891
Waupaca County,Wisconsin,52410
Waushara County,Wisconsin,24496
Winnebago County,Wisconsin,166994
Wood County,Wisconsin,74749
Albany County,Wyoming,36299
Big Horn County,Wyoming,11668
Campbell County,Wyoming,46133
Carbon County,Wyoming,15885
Converse County,Wyoming,13833
Crook County,Wyoming,7083
Fremont County,Wyoming,40123
Goshen County,Wyoming,13249
Hot Springs County,Wyoming,4812
Johnson County,Wyoming,8569
Laramie County,Wyoming,91738
Lincoln County,Wyoming,18106
Natrona County,Wyoming,75450
Niobrara County,Wyoming,2484
Park County,Wyoming,28205
Platte County,Wyoming,8667
Sheridan County,Wyoming,29116
Sublette County,Wyoming,10247
Sweetwater County,Wyoming,43806
Teton County,Wyoming,21294
Uinta County,Wyoming,21118
Washakie County,Wyoming,8533
Weston County,Wyoming,7208
